date,open,high,low,close,volume
2010-11-17,1.34874,1.35653,1.34601,1.35135,79417.1
2010-11-18,1.35139,1.3667,1.3513,1.36276,81835.7
2010-11-19,1.36278,1.37311,1.36082,1.3685,73744.3
2010-11-20,1.36848,1.36941,1.36679,1.36716,1063.7
2010-11-22,1.37159,1.37859,1.35764,1.3623,64501.2
2010-11-23,1.36238,1.36326,1.33614,1.33709,92088.5
2010-11-24,1.33709,1.34209,1.32839,1.33271,90387.2
2010-11-25,1.3326,1.3387,1.32864,1.33573,80430.0
2010-11-26,1.3357,1.3365,1.32001,1.3246,72698.4
2010-11-27,1.3247,1.32487,1.3235,1.32395,1226.8
2010-11-29,1.32792,1.32999,1.30638,1.31219,141413.6
2010-11-30,1.31219,1.31497,1.29685,1.29798,237522.2
2010-12-01,1.29799,1.3178,1.29707,1.31365,210376.0
2010-12-02,1.31365,1.32468,1.30599,1.32229,201400.2
2010-12-03,1.32233,1.34166,1.31927,1.34118,178497.1
2010-12-04,1.34108,1.34376,1.34103,1.34135,3105.8
